group,case,lb-dfs,t-dfs,lb-maxknap,t-maxkanap,lb-fb,t-fb
11,8,16,0,16,0,15,0
11,9,16,0,16,0,16,0
11,10,15,0,15,0,15,0
11,11,14,0,14,0,14,0
11,12,18,0,17,0,17,0
11,13,18,0,17,0,17,0
11,14,20,0,20,0,20,0
11,15,17,0,17,0,17,0
11,16,18,0,18,0,18,0
11,17,18,0,18,0,18,0
11,18,9,0,9,0,8,0
11,19,17,0,17,0,17,0
11,20,16,0,15,0,15,0
11,21,19,0,19,0,19,0
11,22,17,0,17,0,17,0
11,23,11,0,11,0,11,0
11,24,18,0,18,0,18,0
11,25,16,0,16,0,16,0
11,26,17,0,17,0,17,0
11,27,17,0,17,0,17,0
11,28,17,0,17,0,17,0
11,29,20,0,20,0,20,0
11,30,16,0,16,0,16,0
11,31,17,0,17,0,17,0
11,32,19,0,19,0,19,0
11,33,16,0,16,0,16,0
11,34,18,0,18,0,18,0
11,35,18,0,17,0,17,0
11,36,17,0,17,0,17,0
11,37,17,0,17,0,17,0
11,38,16,0,16,0,16,0
11,39,15,0,15,0,15,0
11,40,19,0,19,0,19,0
12,1,23,0,23,0,23,0
12,2,22,0,22,0,22,0
12,3,21,0,21,0,21,0
12,4,21,0,21,0,21,0
12,5,20,0,20,0,20,0
12,6,17,0,17,0,17,0
12,7,18,0,18,0,18,0
12,8,16,0,16,0,16,0
12,9,11,0,11,0,11,0
12,10,20,0,19,0,19,0
12,11,18,0,17,0,17,0
12,12,18,0,18,0,18,0
12,13,23,0,23,0,23,0
12,14,21,0,21,0,21,0
12,15,19,0,19,0,19,0
12,16,17,0,16,0,16,0
12,17,21,0,21,0,21,0
12,18,19,0,19,0,19,0
12,19,22,0,22,0,22,0
12,20,17,0,17,0,17,0
12,21,19,0,19,0,19,0
12,22,19,0,19,0,19,0
12,23,17,0,17,0,17,0
12,24,23,0,23,0,23,0
12,25,17,0,17,0,17,0
12,26,26,0,26,0,26,0
12,27,23,0,23,0,23,0
12,28,20,0,19,0,19,0
12,29,21,0,21,0,21,0
12,30,16,0,16,0,16,0
12,31,23,0,23,0,23,0
12,32,18,0,18,0,18,0
12,33,24,0,24,0,24,0
12,34,21,0,20,0,20,0
12,35,18,0,18,0,18,0
12,36,20,0,20,0,20,0
12,37,16,0,16,0,16,0
12,38,15,0,15,0,15,0
12,39,16,0,16,0,16,0
12,40,20,0,20,0,20,0
13,1,26,0,26,0,26,0
13,2,18,0,18,0,18,0
13,3,26,0,26,0,26,0
13,4,21,0,21,0,21,0
13,5,27,0,27,0,27,0
13,6,21,0,21,0,21,0
13,7,23,0,23,0,23,0
13,8,20,0,20,0,20,0
13,9,26,0,26,0,26,0
13,10,24,0,24,0,24,0
13,11,21,0,21,0,21,0
13,12,28,0,28,0,28,0
13,13,25,0,25,0,25,0
13,14,27,0,27,0,27,0
13,15,28,0,28,0,28,0
13,16,21,0,21,0,21,0
13,17,27,0,27,0,27,0
13,18,27,0,27,0,27,0
13,19,21,0,21,0,20,0
13,20,19,0,19,0,19,0
13,21,25,0,25,0,25,0
13,22,23,0,23,0,23,0
13,23,29,0,29,0,29,0
13,24,26,0,26,0,26,0
13,25,23,0,23,0,23,0
13,26,29,0,29,0,29,0
13,27,23,0,22,0,22,0
13,28,23,0,23,0,23,0
13,29,30,0,30,0,30,0
13,30,20,0,20,0,20,0
13,31,22,0,22,0,22,0
13,32,23,0,23,0,23,0
13,33,26,0,26,0,26,0
13,34,27,0,27,0,27,0
13,35,26,0,26,0,26,0
13,36,24,0,24,0,24,0
13,37,23,0,23,0,23,0
13,38,28,0,28,0,28,0
13,39,22,0,22,0,22,0
13,40,27,0,27,0,27,0
14,1,22,0,22,0,22,0
14,2,27,0,26,0,26,0
14,3,27,0,27,0,27,0
14,4,22,0,22,0,22,0
14,5,26,0,26,0,26,0
14,6,27,0,27,0,27,0
14,7,24,0,24,0,24,0
14,8,27,0,27,0,27,0
14,9,25,0,25,0,25,0
14,10,28,0,28,0,28,0
14,11,26,0,26,0,26,15
14,12,29,0,29,0,29,0
14,13,27,0,27,0,27,0
14,14,28,0,28,0,28,0
14,15,27,0,27,0,27,0
14,16,23,0,23,0,23,0
14,17,30,0,30,0,30,0
14,18,32,0,32,0,32,0
14,19,24,0,24,0,24,0
14,20,31,0,31,0,31,0
14,21,25,0,25,0,25,0
14,22,21,0,21,0,21,0
14,23,31,0,31,0,31,0
14,24,30,0,30,0,30,0
14,25,27,0,27,0,27,0
14,26,26,0,26,0,26,0
14,27,31,0,31,0,31,0
14,28,31,0,31,0,31,0
14,29,25,0,24,0,24,0
14,30,31,0,31,0,31,0
14,31,22,0,22,0,22,0
14,32,30,0,30,0,30,0
14,33,30,0,30,0,30,0
14,34,28,0,28,0,28,0
14,35,32,0,32,0,32,0
14,36,29,0,29,0,29,0
14,37,20,0,20,0,20,0
14,38,25,0,25,0,25,0
14,39,30,0,30,0,30,0
14,40,29,0,29,0,29,0
15,1,35,0,35,0,35,0
15,2,27,0,27,0,27,0
15,3,34,0,34,0,34,0
15,4,30,0,30,0,30,0
15,5,34,0,34,0,34,0
15,6,30,0,30,0,30,0
15,7,29,0,29,0,29,0
15,8,29,0,29,0,29,0
15,9,34,0,34,0,34,0
15,10,35,0,35,0,35,0
15,11,37,0,37,0,37,0
15,12,34,0,34,0,34,0
15,13,30,0,30,0,30,0
15,14,30,0,30,0,30,0
15,15,31,0,31,0,31,0
15,16,30,0,30,0,30,0
15,17,25,0,25,0,25,0
15,18,29,0,29,0,29,0
15,19,27,0,27,0,27,0
15,20,37,0,37,0,37,0
15,21,32,0,32,0,32,0
15,22,28,0,28,0,28,0
15,23,32,0,32,0,32,0
15,24,32,0,32,0,32,0
15,25,28,0,28,0,28,0
15,26,29,0,29,0,29,0
15,27,33,0,33,0,33,0
15,28,33,0,33,0,33,0
15,29,27,0,27,0,27,0
15,30,34,0,34,0,34,0
15,31,34,0,34,0,34,0
15,32,34,0,34,0,34,0
15,33,35,0,35,0,35,0
15,34,25,0,25,0,25,0
15,35,29,0,29,0,29,0
15,36,27,0,27,0,27,0
15,37,29,0,29,0,29,0
15,38,31,0,31,0,31,0
15,39,30,0,30,0,30,0
15,40,31,0,31,0,31,0
16,1,36,0,36,0,36,0
16,2,38,0,38,0,38,0
16,3,35,0,35,0,35,0
16,4,30,0,30,0,30,0
16,5,31,0,31,0,31,0
16,6,40,0,40,0,40,0
16,7,38,0,38,0,38,0
16,8,33,0,33,0,33,0
16,9,29,0,29,0,29,0
16,10,31,0,31,0,31,0
16,11,38,0,38,0,38,0
16,12,32,0,32,0,32,0
16,13,37,0,37,16,37,0
16,14,32,0,32,0,32,0
16,15,33,0,33,0,33,0
16,16,38,0,38,0,38,0
16,17,35,0,35,0,35,0
16,18,35,0,35,0,35,0
16,19,32,0,32,0,32,0
16,20,26,0,26,0,26,0
16,21,27,0,27,0,27,0
16,22,32,0,32,0,32,0
16,23,34,0,34,0,34,0
16,24,34,0,34,0,34,0
16,25,41,0,41,0,41,0
16,26,40,0,40,0,40,0
16,27,39,0,39,0,39,0
16,28,37,0,37,16,37,0
16,29,37,0,37,0,37,0
16,30,34,0,34,0,34,0
16,31,34,0,34,0,33,0
16,32,31,0,31,0,31,0
16,33,37,0,37,0,37,0
16,34,36,0,36,0,36,0
16,35,31,0,31,0,31,0
16,36,38,0,38,0,38,0
16,37,28,0,28,0,28,0
16,38,37,0,37,0,37,0
16,39,40,0,40,0,40,0
16,40,38,0,38,0,38,0
17,1,42,0,42,0,42,0
17,2,40,0,40,0,40,0
17,3,41,0,41,0,41,0
17,4,40,0,40,0,40,0
17,5,38,0,38,0,38,0
17,6,36,0,36,0,36,0
17,7,41,0,41,0,41,0
17,8,42,0,42,0,42,0
17,9,35,0,35,0,35,0
17,10,39,0,39,0,39,0
17,11,36,0,36,0,36,0
17,12,36,0,36,0,36,0
17,13,39,0,39,0,39,0
17,14,40,0,40,0,40,0
17,15,38,0,38,0,38,0
17,16,42,0,42,0,42,0
17,17,42,0,42,0,42,0
17,18,32,0,32,0,32,0
